code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600410,2025-08-07,13.19,11.99,1,False,2.17,16.5512,2312804319.77,13973635264.0,36.26,0,0.1
sh.600410,2025-08-11,14.2,12.91,1,False,-2.56,37.798,5742445368.75,15192458248.0,44.6,0,0.1
sh.600410,2025-08-12,15.62,14.2,2,False,-3.17,37.3554,6062513290.32,16229282220.0,58.58,0,0.1
sh.600410,2025-08-14,17.81,16.19,1,False,-0.43,32.1118,6070996314.66,18905811305.0,74.27,0,0.1
sh.600410,2025-08-18,20.68,18.8,1,False,4.31,15.0638,3356599386.4,22282554113.0,107.84,0,0.1
sh.600410,2025-08-19,22.75,20.68,2,False,6.0,37.2969,9134776231.96,24492052240.0,125.25,0,0.1
sh.600410,2025-08-25,23.25,21.14,1,False,4.97,47.7085,11919793714.33,24984633167.0,116.48,0,0.1
sh.600410,2025-08-26,25.58,23.25,2,False,3.23,36.6072,9914740056.67,27084125682.0,136.2,0,0.1
sh.600415,2025-08-25,23.02,20.93,1,False,0.0,2.9143,3530106536.65,121130512873.0,4.73,0,0.1
sh.600416,2025-08-15,15.06,13.69,1,False,-0.66,5.7472,1100436709.06,19147353652.0,13.32,0,0.1
sh.600418,2025-07-17,45.49,41.35,1,False,-0.24,6.9845,6691469646.51,95804562195.0,9.27,0,0.1
sh.600421,2025-07-14,7.1,6.76,1,False,-0.74,3.5172,48488090.0,1378599170.0,-5.96,1,0.1
sh.600421,2025-08-04,6.42,6.11,1,False,-0.33,1.9899,24578287.0,1235151867.0,-4.75,1,0.1
